Entity,Year,Code,Continent,Population,GDP per capita [$],PEC [TWh],Oil,Coal,Gas,Hydropower,Nuclear,Solar,Wind,Other renewables,Biofuels and Waste,Transport S,Industry S,Residential S,Commercial and public services S,Agriculture/Forestry S,Non-energy use S,Non-specified S
Afghanistan,1960,AFG,Asia,8996973,59.77319384,,,,,,,,,,,,,,,,,
,1961,AFG,Asia,9169410,59.86087388,,,,,,,,,,,,,,,,,
,1962,AFG,Asia,9351441,58.45801495,,,,,,,,,,,,,,,,,
,1963,AFG,Asia,9543205,78.70638754,,,,,,,,,,,,,,,,,
,1964,AFG,Asia,9744781,82.09523071,,,,,,,,,,,,,,,,,
,1965,AFG,Asia,9956320,101.1083049,,,,,,,,,,,,,,,,,
,1966,AFG,Asia,10174836,137.5943521,,,,,,,,,,,,,,,,,
,1967,AFG,Asia,10399926,160.8985889,,,,,,,,,,,,,,,,,
,1968,AFG,Asia,10637063,129.1083231,,,,,,,,,,,,,,,,,
,1969,AFG,Asia,10893776,129.3297129,,,,,,,,,,,,,,,,,
,1970,AFG,Asia,11173642,156.5189394,,,,,,,,,,,,,,,,,
,1971,AFG,Asia,11475445,159.5675785,,,,,,,,,,,,,,,,,
,1972,AFG,Asia,11791215,135.3173083,,,,,,,,,,,,,,,,,
,1973,AFG,Asia,12108963,143.1446495,,,,,,,,,,,,,,,,,
,1974,AFG,Asia,12412950,173.6537646,,,,,,,,,,,,,,,,,
,1975,AFG,Asia,12689160,186.5108971,,,,,,,,,,,,,,,,,
,1976,AFG,Asia,12943093,197.4455076,,,,,,,,,,,,,,,,,
,1977,AFG,Asia,13171306,224.2247973,,,,,,,,,,,,,,,,,
,1978,AFG,Asia,13341198,247.3541063,,,,,,,,,,,,,,,,,
,1979,AFG,Asia,13411056,275.7381976,,,,,,,,,,,,,,,,,
,1980,AFG,Asia,13356511,272.6552857,,,,,,,,,,,,,,,,,
,1981,AFG,Asia,13171673,264.1113175,,,,,,,,,,,,,,,,,
,1982,AFG,Asia,12882528,179.4264945,,,,,,,,,,,,,,,,,
,1983,AFG,Asia,12537730,190.6840088,,,,,,,,,,,,,,,,,
,1984,AFG,Asia,12204292,211.3819695,,,,,,,,,,,,,,,,,
,1985,AFG,Asia,11938208,242.0313792,,,,,,,,,,,,,,,,,
,1986,AFG,Asia,11736179,263.7337347,,,,,,,,,,,,,,,,,
,1987,AFG,Asia,11604534,359.69348,,,,,,,,,,,,,,,,,
,1988,AFG,Asia,11618005,364.6604654,,,,,,,,,,,,,,,,,
,1989,AFG,Asia,11868877,438.0760344,,,,,,,,,,,,,,,,,
,1990,AFG,Asia,12412308,543.3030419,,,,,,,,,,,,,,,,,
