Entity,Year,Total energy consumption,Total energy consumption from coal,Total energy consumption from natural gas,"Total energy consumption from nuclear, renewables, and other",Total energy consumption from petroleum and other liquids
INTL.44-2-ABW-QBTU.A,1980,--,,,,
INTL.44-2-ABW-QBTU.A,1981,--,,,,
INTL.44-2-ABW-QBTU.A,1982,--,,,,
INTL.44-2-ABW-QBTU.A,1983,--,,,,
INTL.44-2-ABW-QBTU.A,1984,--,,,,
INTL.44-2-ABW-QBTU.A,1985,--,,,,
INTL.44-2-ABW-QBTU.A,1986,0.001,,,,
INTL.44-2-ABW-QBTU.A,1987,0.001,,,,
INTL.44-2-ABW-QBTU.A,1988,0.006,,,,
INTL.44-2-ABW-QBTU.A,1989,0.007,,,,
INTL.44-2-ABW-QBTU.A,1990,0.008,,,,
INTL.44-2-ABW-QBTU.A,1991,0.009,,,,
INTL.44-2-ABW-QBTU.A,1992,0.009,,,,
INTL.44-2-ABW-QBTU.A,1993,0.01,,,,
INTL.44-2-ABW-QBTU.A,1994,0.01,,,,
INTL.44-2-ABW-QBTU.A,1995,0.012,,,,
INTL.44-2-ABW-QBTU.A,1996,0.008,,,,
INTL.44-2-ABW-QBTU.A,1997,0.013,,,,
INTL.44-2-ABW-QBTU.A,1998,0.013,,,,
INTL.44-2-ABW-QBTU.A,1999,0.013,,,,
INTL.44-2-ABW-QBTU.A,2000,0.015,,,,
INTL.44-2-ABW-QBTU.A,2001,0.016,,,,
INTL.44-2-ABW-QBTU.A,2002,0.016,,,,
INTL.44-2-ABW-QBTU.A,2003,0.018,,,,
INTL.44-2-ABW-QBTU.A,2004,0.019,,,,
INTL.44-2-ABW-QBTU.A,2005,0.02,,,,
INTL.44-2-ABW-QBTU.A,2006,0.02,,,,
INTL.44-2-ABW-QBTU.A,2007,0.021,,,,
INTL.44-2-ABW-QBTU.A,2008,0.02,,,,
INTL.44-2-ABW-QBTU.A,2009,0.019,,,,
INTL.44-2-ABW-QBTU.A,2010,0.018,,,,
INTL.44-2-ABW-QBTU.A,2011,0.015,,,,
INTL.44-2-ABW-QBTU.A,2012,0.018,,,,
INTL.44-2-ABW-QBTU.A,2013,0.018,,,,
INTL.44-2-ABW-QBTU.A,2014,0.018,,,,
INTL.44-2-ABW-QBTU.A,2015,0.018,,,,
INTL.44-2-ABW-QBTU.A,2016,0.018,,,,
