,index,Series Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,INTL.4411-2-WSM-QBTU.A,"Total energy consumption from coal, Samoa, Annual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,INTL.4411-2-YEM-QBTU.A,"Total energy consumption from coal, Yemen, Annual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),0.001,0.002,0.004,0.004,0.005,0.005,0.004,0.003,0.003,0.009
2,INTL.4411-2-YUG-QBTU.A,"Total energy consumption from coal, Former Yugoslavia, Annual",0.972,1.181,1.259,1.353,1.507,1.611,1.603,1.623,1.653,1.649,1.61,1.564,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,INTL.4411-2-ZAF-QBTU.A,"Total energy consumption from coal, South Africa, Annual",1.985,2.167,2.32,2.442,2.605,2.676,2.679,2.842,2.866,2.866,2.969,2.907,2.87,2.959,3,3.195,3.323,3.456,3.522,3.362,3.481,3.446,3.557,3.774,3.796,3.879,3.962,4.08,4.078,4.065,4.136,3.906,4.063,4.045,4.026,3.954,3.976,3.978
4,INTL.4411-2-ZMB-QBTU.A,"Total energy consumption from coal, Zambia, Annual",0.015,0.012,0.013,0.012,0.011,0.012,0.013,0.011,0.012,0.012,0.009,0.009,0.01,0.01,0.009,0.004,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.001,0.002,0.003,0.004,0.003,0.002,0.003,0.004,0.004,0.004,0.004,0.005
5,INTL.4411-2-ZWE-QBTU.A,"Total energy consumption from coal, Zimbabwe, Annual",0.066,0.061,0.063,0.062,0.064,0.075,0.088,0.119,0.115,0.117,0.121,0.123,0.117,0.119,0.114,0.11,0.105,0.096,0.099,0.114,0.109,0.103,0.099,0.089,0.081,0.089,0.083,0.083,0.061,0.063,0.075,0.075,0.082,0.081,0.082,0.086,0.076,0.069
6,INTL.44-2-KWT-QBTU.A,"Total energy consumption, Kuwait, Annual",0.482,0.352,0.356,0.392,0.407,0.404,0.452,0.537,0.621,0.694,0.407,0.215,0.35,0.475,0.571,0.59,0.626,0.799,0.846,0.918,0.825,0.842,0.889,0.964,1.003,1.171,1.163,1.236,1.326,1.422,1.401,1.468,1.507,1.545,1.497,1.653,1.669,1.591
7,INTL.44-2-LAO-QBTU.A,"Total energy consumption, Laos, Annual",0.013,0.011,0.012,0.011,0.01,0.009,0.01,0.008,0.007,0.009,0.01,0.011,0.011,0.011,0.011,0.013,0.016,0.016,0.021,0.023,0.039,0.041,0.041,0.04,0.041,0.048,0.055,0.053,0.06,0.063,0.1,0.131,0.137,0.161,0.164,0.24,0.417,0.405
8,INTL.44-2-LBN-QBTU.A,"Total energy consumption, Lebanon, Annual",0.103,0.097,0.093,0.096,0.092,0.107,0.102,0.107,0.097,0.077,0.071,0.117,0.12,0.151,0.17,0.182,0.193,0.221,0.223,0.229,0.207,0.22,0.222,0.224,0.223,0.214,0.198,0.175,0.226,0.28,0.27,0.273,0.305,0.304,0.314,0.346,0.354,0.376
9,INTL.44-2-LBR-QBTU.A,"Total energy consumption, Liberia, Annual",0.032,0.029,0.029,0.029,0.026,0.026,0.021,0.016,0.02,0.017,0.008,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.009,0.01,0.009,0.008,0.007,0.011,0.013,0.014,0.013,0.017,0.017,0.019,0.017
